"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-FWV";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FWZ";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FXC";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-FXM";"PC-12/45";"PILATUS AIRCRAFT LTD."
"HB-FXN";"PC-12/47E";"PILATUS AIRCRAFT LTD."
"HB-GBL";"95";"BEECH AIRCRAFT CORPORATION"
"HB-GEA";"95-55";"BEECH AIRCRAFT CORPORATION"
"HB-GGM";"58P";"BEECH AIRCRAFT CORPORATION"
"HB-GGP";"58P";"BEECH AIRCRAFT CORPORATION"
"HB-GHG";"95-B55";"BEECH AIRCRAFT CORPORATION"
"HB-GIA";"95-B55";"BEECH AIRCRAFT CORPORATION"
"HB-GIL";"200";"BEECH AIRCRAFT CORPORATION"
"HB-GIX";"E95";"BEECH AIRCRAFT CORPORATION"
"HB-GJI";"200";"BEECH AIRCRAFT CORPORATION"
"HB-GJK";"B60";"BEECH AIRCRAFT CORPORATION"
"HB-GJM";"200";"BEECH AIRCRAFT CORPORATION"
"HB-GJO";"58";"RAYTHEON AIRCRAFT COMPANY"
"HB-GKG";"G58";"HAWKER BEECHCRAFT CORPORATION"
"HB-GLA";"B200";"BEECH AIRCRAFT CORPORATION"
"HB-GLB";"B200";"BEECH AIRCRAFT CORPORATION"
"HB-GPC";"58P";"BEECH AIRCRAFT CORPORATION"
"HB-GPD";"58P";"BEECH AIRCRAFT CORPORATION"
"HB-GPH";"200";"RAYTHEON AIRCRAFT COMPANY"
"HB-GPI";"300LW";"BEECH AIRCRAFT CORPORATION"
"HB-HAB";"DO 27 H-2";"DORNIER GMBH WERKE MÜNCHEN"
"HB-HAO";"PC-7";"PILATUS AIRCRAFT LTD."
"HB-HEB";"ME 108B";"MESSERSCHMITT AG"
"HB-HEC";"AS202/15";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HEF";"AS202/15";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HEI";"AS202/15";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HEO";"AS202/15";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HEP";"AS202/15";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HER";"AS202/15";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HEZ";"AS202/15";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HFD";"AS202/18A";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HFF";"AS202/15-1/16M";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HFH";"AS202/15-1/16M";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HFJ";"AS202/32TP";"FFA FLUGZEUGWERKE ALTENRHEIN AG"
"HB-HFK";"AS202/15-1/16M";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HFW";"AS202/15-1";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HFX";"AS202/15-1";"FLUG- UND FAHRZEUGWERKE AG ALTENRHEIN (FFA)"
"HB-HFZ";"AS202/18A4";"FFA FLUGZEUGWERKE ALTENRHEIN AG"
"HB-HKO";"AS202/18A4";"FFA FLUGZEUGWERKE ALTENRHEIN AG"
"HB-HMU";"PC-7";"PILATUS AIRCRAFT LTD."
"HB-HMX";"PC-7";"PILATUS AIRCRAFT LTD."
"HB-HOJ";"MD-3-160";"MDB FLUGTECHNIK AG"
"HB-HOP";"JU-52/3m g4e";"JUNKERS FLUGZEUG- UND MOTORENWERKE AG"
"HB-HOS";"JU-52/3m g4e";"JUNKERS FLUGZEUG- UND MOTORENWERKE AG"
"HB-HOT";"JU-52/3m g4e";"JUNKERS FLUGZEUG- UND MOTORENWERKE AG"
"HB-HOY";"CASA 352 A-3";"CONSTRUCCIONES AERONAUTICAS, S.A."
"HB-HPJ";"PC-9(M)";"PILATUS AIRCRAFT LTD."
"HB-HPR";"PC-7";"PILATUS AIRCRAFT LTD."
"HB-HTC";"PC-7";"PILATUS AIRCRAFT LTD."
"HB-HVA2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVB2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVC2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVD2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVE2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVF2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVG2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVH2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVI2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVJ2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HVK2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HWK1";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HWL1";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HWM1";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HWN1";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HWO1";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HWP1";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HYX2";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HZA";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HZC";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-HZD";"PC-21";"PILATUS AIRCRAFT LTD."
"HB-IAJ";"FALCON 2000EX";"DASSAULT AVIATION"
"HB-IAU";"FALCON 2000EX";"DASSAULT AVIATION"
"HB-IAW";"FALCON 2000";"DASSAULT AVIATION"
"HB-IGU";"FALCON 2000EX";"DASSAULT AVIATION"
"HB-IGV";"MYSTERE FALCON 50";"DASSAULT AVIATION"
"HB-IHX";"A320-214";"AIRBUS INDUSTRIE"
"HB-IHY";"A320-214";"AIRBUS INDUSTRIE"
"HB-IHZ";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJB";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJD";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJE";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJF";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJH";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJI";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJJ";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJK";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJL";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJM";"A320-214";"AIRBUS S.A.S."
"HB-IJN";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJO";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJP";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJQ";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJR";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJS";"A320-214";"AIRBUS INDUSTRIE"
"HB-IJU";"A320-214";"AIRBUS S.A.S."
"HB-IJV";"A320-214";"AIRBUS S.A.S."
"HB-IJW";"A320-214";"AIRBUS S.A.S."
"HB-IKS";"CL-600-2B16 (601-3A Variant)";"CANADAIR LTD"
"HB-IMJ";"GV";"GULFSTREAM AEROSPACE CORPORATION"
"HB-IOC";"A321-111";"AIRBUS S.A.S."
"HB-IOD";"A321-111";"AIRBUS S.A.S."
"HB-IOF";"A321-111";"AIRBUS S.A.S."
"HB-IOH";"A321-111";"AIRBUS INDUSTRIE"
"HB-IOK";"A321-111";"AIRBUS INDUSTRIE"
"HB-IOL";"A321-111";"AIRBUS INDUSTRIE"
"HB-IOM";"A321-212";"AIRBUS S.A.S."
"HB-ION";"A321-212";"AIRBUS S.A.S."
"HB-IOO";"A321-212";"AIRBUS S.A.S."
"HB-IPT";"A319-112";"AIRBUS INDUSTRIE"
"HB-IPU";"A319-112";"AIRBUS INDUSTRIE"
"HB-IPV";"A319-112";"AIRBUS INDUSTRIE"
"HB-IPX";"A319-112";"AIRBUS INDUSTRIE"
"HB-IPY";"A319-112";"AIRBUS INDUSTRIE"
"HB-IRJ";"DC-3A-S4C4G";"DOUGLAS AIRCRAFT COMPANY, INC."
"HB-ISB";"DC-3C-S1C3G";"DOUGLAS AIRCRAFT COMPANY, INC."
"HB-IUV";"GULFSTREAM 200";"ISRAEL AIRCRAFT INDUSTRIES LTD."
"HB-IVJ";"GVI";"GULFSTREAM AEROSPACE CORPORATION"
"HB-IYA";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IYD";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IYI";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IYP";"MYSTERE FALCON 50";"AVIONS MARCEL DASSAULT-BREGUET AVIATION (AMD-BA)"
"HB-IZB";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IZD";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IZH";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IZJ";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IZP";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IZS";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-IZZ";"SAAB 2000";"SAAB AIRCRAFT AB"
"HB-JBA";"BD-500-1A10 (CS100)";"BOMBARDIER INC."
"HB-JBB";"BD-500-1A10 (CS100)";"BOMBARDIER INC."
"HB-JBC";"BD-500-1A10 (CS100)";"BOMBARDIER INC."
"HB-JBD";"BD-500-1A10 (CS100)";"BOMBARDIER INC."
"HB-JBE";"BD-500-1A10 (CS100)";"BOMBARDIER INC."
"HB-JBF";"BD-500-1A10 (CS100)";"BOMBARDIER INC."
"HB-JBG";"BD-500-1A10 (CS100)";"BOMBARDIER INC."
"HB-JBH";"BD-500-1A10 (CS100)";"BOMBARDIER INC."
"HB-JCA";"BD-500-1A11 (CS300)";"BOMBARDIER INC."
"HB-JCB";"BD-500-1A11 (CS300)";"BOMBARDIER INC."
"HB-JCC";"BD-500-1A11 (CS300)";"BOMBARDIER INC."
"HB-JCD";"BD-500-1A11 (CS300)";"BOMBARDIER INC."
"HB-JCE";"BD-500-1A11 (CS300)";"BOMBARDIER INC."
"HB-JCF";"BD-500-1A11 (CS300)";"BOMBARDIER INC."
"HB-JCG";"BD-500-1A11 (CS300)";"BOMBARDIER INC."
"HB-JEH";"BD-700-1A10";"BOMBARDIER INC."
"HB-JES";"GV";"GULFSTREAM AEROSPACE CORPORATION"
"HB-JFB";"BD-700-1A11";"BOMBARDIER INC."
"HB-JFE";"BD-700-1A10";"BOMBARDIER INC."
"HB-JFI";"FALCON 2000EX";"DASSAULT AVIATION"
"HB-JFJ";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JFK";"EMB-500";"EMBRAER - EMPRESA BRASILEIRA DE AERONÁUTICA SA"
"HB-JFL";"EMB-135BJ";"EMBRAER - EMPRESA BRASILEIRA DE AERONÁUTICA SA"
"HB-JFN";"FALCON 7X";"DASSAULT AVIATION"
"HB-JFP";"GVI";"GULFSTREAM AEROSPACE CORPORATION"
"HB-JFQ";"FALCON 7X";"DASSAULT AVIATION"
"HB-JFR";"FALCON 7X";"DASSAULT AVIATION"
"HB-JFS";"FALCON 7X";"DASSAULT AVIATION"
"HB-JFX";"BD-700-1A10";"BOMBARDIER INC."
"HB-JGB";"GIV-X";"GULFSTREAM AEROSPACE CORPORATION"
"HB-JGD";"FALCON 2000EX";"DASSAULT AVIATION"
"HB-JGE";"BD-700-1A10";"BOMBARDIER INC."
"HB-JGG";"FALCON 2000EX";"DASSAULT AVIATION"
"HB-JGI";"FALCON 7X";"DASSAULT AVIATION"
"HB-JGK";"1329-25";"LOCKHEED AIRCRAFT CORPORATION"
"HB-JGP";"BD-700-1A10";"BOMBARDIER INC."
"HB-JGQ";"BD-100-1A10";"BOMBARDIER INC."
"HB-JHA";"A330-343";"AIRBUS S.A.S."
"HB-JHB";"A330-343";"AIRBUS S.A.S."
"HB-JHC";"A330-343";"AIRBUS S.A.S."
"HB-JHD";"A330-343";"AIRBUS S.A.S."
"HB-JHE";"A330-343";"AIRBUS S.A.S."
"HB-JHF";"A330-343";"AIRBUS S.A.S."
"HB-JHG";"A330-343";"AIRBUS S.A.S."
"HB-JHH";"A330-343";"AIRBUS S.A.S."
"HB-JHI";"A330-343";"AIRBUS S.A.S."
"HB-JHJ";"A330-343";"AIRBUS S.A.S."
"HB-JHK";"A330-343";"AIRBUS S.A.S."
"HB-JHL";"A330-343";"AIRBUS S.A.S."
"HB-JHM";"A330-343";"AIRBUS S.A.S."
"HB-JHN";"A330-343";"AIRBUS S.A.S."
"HB-JHQ";"A330-343";"AIRBUS S.A.S."
"HB-JHR";"A330-343";"AIRBUS S.A.S."
"HB-JII";"BD-700-1A10";"BOMBARDIER INC."
"HB-JIN";"FALCON 900EX";"DASSAULT AVIATION"
"HB-JIP";"FALCON 2000EX";"DASSAULT AVIATION"
"HB-JJA";"737-7AK";"THE BOEING COMPANY"
"HB-JJE";"757-204";"THE BOEING COMPANY"
"HB-JJF";"767-316 (ER)";"THE BOEING COMPANY"
"HB-JJH";"737-752";"THE BOEING COMPANY"
"HB-JJL";"A320-214";"AIRBUS S.A.S."
"HB-JJM";"A320-214";"AIRBUS S.A.S."
"HB-JKC";"GV-SP";"GULFSTREAM AEROSPACE CORPORATION"
"HB-JKI";"GV-SP";"GULFSTREAM AEROSPACE CORPORATION"
"HB-JKK";"FALCON 7X";"DASSAULT AVIATION"
"HB-JLG";"BD-100-1A10";"BOMBARDIER INC."
"HB-JLK";"FALCON 7X";"DASSAULT AVIATION"
"HB-JLP";"A320-214";"AIRBUS S.A.S."
"HB-JLQ";"A320-214";"AIRBUS S.A.S."
"HB-JLR";"A320-214";"AIRBUS S.A.S."
"HB-JLS";"A320-214";"AIRBUS S.A.S."
"HB-JLT";"A320-214";"AIRBUS S.A.S."
"HB-JMA";"A340-313";"AIRBUS S.A.S."
"HB-JMB";"A340-313";"AIRBUS S.A.S."
"HB-JMC";"A340-313";"AIRBUS S.A.S."
"HB-JMD";"A340-313";"AIRBUS S.A.S."
"HB-JME";"A340-313";"AIRBUS S.A.S."
"HB-JMF";"A340-313";"AIRBUS S.A.S."
"HB-JMG";"A340-313";"AIRBUS S.A.S."
"HB-JMH";"A340-313";"AIRBUS S.A.S."
"HB-JMI";"A340-313";"AIRBUS S.A.S."
"HB-JNA";"777-3DEER";"THE BOEING COMPANY"
"HB-JNB";"777-3DEER";"THE BOEING COMPANY"
"HB-JNC";"777-3DEER";"THE BOEING COMPANY"
"HB-JND";"777-3DEER";"THE BOEING COMPANY"
"HB-JNE";"777-3DEER";"THE BOEING COMPANY"
"HB-JNF";"777-3DEER";"THE BOEING COMPANY"
"HB-JNG";"777-300ER";"THE BOEING COMPANY"
"HB-JNH";"777-300ER";"THE BOEING COMPANY"
"HB-JOB";"FALCON 7X";"DASSAULT AVIATION"
"HB-JOE";"GV-SP";"GULFSTREAM AEROSPACE CORPORATION"
"HB-JOG";"A319-112";"AIRBUS S.A.S."
"HB-JOH";"A319-112";"AIRBUS S.A.S."
"HB-JOI";"A321-211";"AIRBUS S.A.S."
"HB-JRA";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JRB";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JRC";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JRE";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JRG";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JRI";"BD-700-1A11";"BOMBARDIER INC."
"HB-JRQ";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JRS";"BD-700-1A11";"BOMBARDIER INC."
"HB-JRX";"BD-700-1A11";"BOMBARDIER INC."
"HB-JSB";"FALCON 2000";"DASSAULT AVIATION"
"HB-JSD";"FALCON 7X";"DASSAULT AVIATION"
"HB-JSF";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JSG";"CL-600-2B16 (604 Variant)";"BOMBARDIER INC."
"HB-JSL";"FALCON 7X";"DASSAULT AVIATION"
"HB-JSM";"FALCON 7X";"DASSAULT AVIATION"
"HB-JSS";"FALCON 7X";"DASSAULT AVIATION"
"HB-JST";"FALCON 7X";"DASSAULT AVIATION"
"HB-JSU";"FALCON 900EX";"DASSAULT AVIATION"
"HB-JTA";"FALCON 900EX";"DASSAULT AVIATION"
"HB-JTS";"680A";"TEXTRON AVIATION INC."
"HB-JUC";"FALCON 7X";"DASSAULT AVIATION"
"HB-JUF";"GVI";"GULFSTREAM AEROSPACE CORPORATION"
"HB-JVC";"F28 MARK 0100";"FOKKER AIRCRAFT B.V."
"HB-JVE";"F28 MARK 0100";"FOKKER AIRCRAFT B.V."
"HB-JVF";"F28 MARK 0100";"FOKKER AIRCRAFT B.V."
"HB-JVG";"F28 MARK 0100";"FOKKER AIRCRAFT B.V."
"HB-JVH";"F28 MARK 0100";"FOKKER AIRCRAFT B.V."
"HB-JVL";"ERJ 190-100 LR";"EMBRAER - EMPRESA BRASILEIRA DE AERONÁUTICA SA"
"HB-JVM";"ERJ 190-100 LR";"EMBRAER - EMPRESA BRASILEIRA DE AERONÁUTICA SA"
"HB-JVN";"ERJ 190-100 LR";"EMBRAER - EMPRESA BRASILEIRA DE AERONÁUTICA SA"
"HB-JVO";"ERJ 190-100 LR";"EMBRAER - EMPRESA BRASILEIRA DE AERONÁUTICA SA"
"HB-JVP";"ERJ 190-100 LR";"EMBRAER - EMPRESA BRASILEIRA DE AERONÁUTICA SA"
"HB-JVQ";"ERJ 190-100 LR";"EMBRAER S.A."
"HB-JVR";"ERJ 190-100 LR";"EMBRAER S.A."
"HB-JWX";"FALCON 7X";"DASSAULT AVIATION"
"HB-JXA";"A320-214";"AIRBUS S.A.S."
"HB-JXB";"A320-214";"AIRBUS S.A.S."
"HB-JXC";"A320-214";"AIRBUS S.A.S."
"HB-JXD";"A320-214";"AIRBUS S.A.S."
"HB-JXE";"A320-214";"AIRBUS S.A.S."
"HB-JXF";"A320-214";"AIRBUS S.A.S."
"HB-JXI";"A320-214";"AIRBUS S.A.S."
"HB-JYA";"A320-214";"AIRBUS S.A.S."
"HB-JYB";"A319-111";"AIRBUS S.A.S."
"HB-JYC";"A319-111";"AIRBUS S.A.S."
"HB-JYD";"A320-214";"AIRBUS S.A.S."
"HB-JYE";"A320-214";"AIRBUS S.A.S."
"HB-JYF";"A319-111";"AIRBUS S.A.S."
"HB-JYG";"A319-111";"AIRBUS S.A.S."
"HB-JYH";"A319-111";"AIRBUS S.A.S."
"HB-JYI";"A319-111";"AIRBUS S.A.S."
"HB-JYJ";"A319-111";"AIRBUS S.A.S."
"HB-JYK";"A319-111";"AIRBUS S.A.S."
"HB-JYL";"A319-111";"AIRBUS S.A.S."
"HB-JYM";"A319-111";"AIRBUS S.A.S."
"HB-JYN";"A319-111";"AIRBUS S.A.S."
"HB-JZR";"A320-214";"AIRBUS S.A.S."
"HB-JZX";"A320-214";"AIRBUS S.A.S."
"HB-JZY";"A320-214";"AIRBUS S.A.S."
"HB-JZZ";"A320-214";"AIRBUS S.A.S."
"HB-KAB";"TB 20";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-KAC";"R2160D";"AVIONS PIERRE ROBIN S.A."
"HB-KAH";"TB 20";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-KAL";"JODEL DR 250/180";"CENTRE EST AERONAUTIQUE"
"HB-KAU";"TB 10";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-KAW";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-KBJ";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-KBK";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-KBP";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-KBS";"TB 20";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-KBV";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KBX";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KCB";"MX-7-235";"MAULE AIRCRAFT CORPORATION"
"HB-KCE";"MX-7-235";"MAULE AIRCRAFT CORPORATION"
"HB-KCG";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KCI";"A-1";"CHRISTEN INDUSTRIES INC"
"HB-KCJ";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KCS";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-KCV";"TB 20";"SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES"
"HB-KDK";"F33A";"BEECH AIRCRAFT CORPORATION"
"HB-KDM";"M-7-235";"MAULE AIRCRAFT CORPORATION"
"HB-KDO";"ROBIN DR 400/200 R";"AVIONS PIERRE ROBIN S.A."
"HB-KDV";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KDY";"ROBIN DR 400/200 R";"AVIONS PIERRE ROBIN S.A."
"HB-KEC";"ROBIN R 3000/160";"AVIONS PIERRE ROBIN S.A."
"HB-KED";"ROBIN DR 400/180";"AVIONS PIERRE ROBIN S.A."
"HB-KEE";"ROBIN DR 400/180";"AVIONS PIERRE ROBIN S.A."
"HB-KEF";"A-1";"AVIAT AIRCRAFT INC."
"HB-KEG";"A-1";"AVIAT AIRCRAFT INC."
"HB-KEH";"ROBIN R 3000/160";"AVIONS PIERRE ROBIN S.A."
"HB-KEK";"A-1";"CHRISTEN INDUSTRIES INC"
"HB-KEL";"ROBIN R 3000/160";"AVIONS PIERRE ROBIN S.A."
"HB-KEN";"M-7-235C";"MAULE AIRCRAFT CORPORATION"
"HB-KEO";"A-1";"AVIAT AIRCRAFT INC."
"HB-KEQ";"ROBIN R 3000/160";"AVIONS PIERRE ROBIN S.A."
"HB-KES";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-KET";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-KEV";"JOB 15-180/2";"OBERLERCHNERWERKE"
"HB-KEX";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KEY";"ROBIN DR 400/500";"AVIONS PIERRE ROBIN S.A."
"HB-KEZ";"ROBIN DR 400/500";"AVIONS PIERRE ROBIN S.A."
"HB-KFA";"HR200-160";"AVIONS PIERRE ROBIN S.A."
"HB-KFB";"HR200-160";"AVIONS PIERRE ROBIN S.A."
"HB-KFD";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KFH";"ROBIN DR 400/200 R";"AVIONS PIERRE ROBIN S.A."
"HB-KFI";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KFL";"ROBIN DR 400/180";"AVIONS PIERRE ROBIN S.A."
"HB-KFN";"ROBIN DR 400/180";"AVIONS PIERRE ROBIN S.A."
"HB-KFO";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KFP";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KFQ";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KFS";"JODEL DR 250-160";"CENTRE EST AERONAUTIQUE"
"HB-KFT";"ROBIN DR 400/500";"AVIONS PIERRE ROBIN S.A."
"HB-KFW";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KFX";"ROBIN DR 400/180";"APEX AIRCRAFT"
"HB-KFY";"ROBIN DR 400/180";"APEX AIRCRAFT"
"HB-KHC";"TBM700 C2";"EADS SOCATA"
"HB-KHE";"SR20";"CIRRUS DESIGN CORPORATION"
"HB-KHG";"SR22";"CIRRUS DESIGN CORPORATION"
"HB-KHH";"A36";"BEECH AIRCRAFT CORPORATION"
"HB-KHK";"LC41-550FG";"COLUMBIA AIRCRAFT MANUFACTURING"
"HB-KHL";"SR20";"CIRRUS DESIGN CORPORATION"
"HB-KHN";"8KCAB";"AMERICAN CHAMPION AIRCRAFT CORP."
"HB-KHO";"ROBIN DR 400/180 R";"AVIONS PIERRE ROBIN S.A."
"HB-KHR";"SR22";"CIRRUS DESIGN CORPORATION"
"HB-KHS";"A-1B";"AVIAT AIRCRAFT INC."
"HB-KHU";"ROBIN DR 400/500";"AVIONS PIERRE ROBIN S.A."
"HB-KHV";"ROBIN DR 400/180";"ROBIN AIRCRAFT"
"HB-KHW";"SR20";"CIRRUS DESIGN CORPORATION"
"HB-KHZ";"ROBIN DR 400/180 R";"ROBIN AIRCRAFT"
"HB-KIA";"A36";"BEECH AIRCRAFT CORPORATION"
"HB-KIO";"MX-7-235";"MAULE AIRCRAFT CORPORATION"
"HB-KIP";"A-1";"CHRISTEN INDUSTRIES INC"
"HB-KIQ";"MX-7-235";"MAULE AIRCRAFT CORPORATION"
"HB-KIU";"FW P 149 D";"FOCKE-WULF GMBH"
"HB-KIW";"F33A";"BEECH AIRCRAFT CORPORATION"
"HB-KIY";"ROBIN DR 400/140 B";"AVIONS PIERRE ROBIN S.A."
"HB-KJA";"P2010";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KJB";"SR22";"CIRRUS DESIGN CORPORATION"
"HB-KJC";"A-1C-180";"AVIAT AIRCRAFT INC."
"HB-KLA";"ROBIN DR 400/140 B";"ROBIN AIRCRAFT"
"HB-KLB";"ROBIN DR 400/140 B";"ROBIN AIRCRAFT"
"HB-KLE";"ROBIN DR 400/140 B";"ROBIN AIRCRAFT"
"HB-KLL";"SR22T";"CIRRUS DESIGN CORPORATION"
"HB-KLM";"ROBIN DR 400/140 B";"ROBIN AIRCRAFT"
"HB-KLT";"ROBIN DR 400/160";"ROBIN AIRCRAFT"
"HB-KLZ";"ROBIN DR 400/140 B";"ROBIN AIRCRAFT"
"HB-KMA";"SR22T";"CIRRUS DESIGN CORPORATION"
"HB-KMB";"P2008 JC";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KMC";"SR22";"CIRRUS DESIGN CORPORATION"
"HB-KMD";"P2010";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KME";"A-1A";"AVIAT AIRCRAFT INC."
"HB-KMF";"P2008 JC";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KMG";"P2008 JC";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KMH";"P2008 JC";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KMI";"P2008 JC";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KMJ";"P2008 JC";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KMK";"P2010";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KML";"P2008 JC";"COSTRUZIONI AERONAUTICHE TECNAM S.R.L."
"HB-KMM";"SR22";"CIRRUS DESIGN CORPORATION"
"HB-KMN";"SR22T";"CIRRUS DESIGN CORPORATION"
"HB-KMO";"SR22";"CIRRUS DESIGN CORPORATION"
"HB-KMP";"SR22";"CIRRUS DESIGN CORPORATION"
